id,Zone,Element,Unit,Value
LBN,Lebanon,Export Value,1000 US$,725
LSO,Lesotho,Import Quantity,tonnes,10542
LSO,Lesotho,Import Value,1000 US$,33253
LSO,Lesotho,Export Quantity,tonnes,
LSO,Lesotho,Export Value,1000 US$,
LBR,Liberia,Import Quantity,tonnes,41180
LBR,Liberia,Import Value,1000 US$,30162
LBR,Liberia,Export Quantity,tonnes,28
LBR,Liberia,Export Value,1000 US$,9
LBY,Libya,Import Quantity,tonnes,56960
LBY,Libya,Import Value,1000 US$,94309
LTU,Lithuania,Import Quantity,tonnes,35085
LTU,Lithuania,Import Value,1000 US$,50329
LTU,Lithuania,Export Quantity,tonnes,52866
LTU,Lithuania,Export Value,1000 US$,102869
LUX,Luxembourg,Import Quantity,tonnes,7521
LUX,Luxembourg,Import Value,1000 US$,34644
LUX,Luxembourg,Export Quantity,tonnes,311
LUX,Luxembourg,Export Value,1000 US$,1735
MWI,Malawi,Import Quantity,tonnes,353
MWI,Malawi,Import Value,1000 US$,871
MWI,Malawi,Export Quantity,tonnes,204
MWI,Malawi,Export Value,1000 US$,413
MYS,Malaysia,Import Quantity,tonnes,66697
MYS,Malaysia,Import Value,1000 US$,141671
MYS,Malaysia,Export Quantity,tonnes,8208
MYS,Malaysia,Export Value,1000 US$,9848
MDV,Maldives,Import Quantity,tonnes,11248
MDV,Maldives,Import Value,1000 US$,21258
MLI,Mali,Import Quantity,tonnes,497
MLI,Mali,Import Value,1000 US$,742
MLT,Malta,Import Quantity,tonnes,5246
MLT,Malta,Import Value,1000 US$,13388
MLT,Malta,Export Quantity,tonnes,5
MLT,Malta,Export Value,1000 US$,8
MRT,Mauritania,Import Quantity,tonnes,23473
MRT,Mauritania,Import Value,1000 US$,18550
MUS,Mauritius,Import Quantity,tonnes,49
MUS,Mauritius,Import Value,1000 US$,92
MUS,Mauritius,Export Quantity,tonnes,0
MUS,Mauritius,Export Value,1000 US$,1
MEX,Mexico,Import Quantity,tonnes,788452
MEX,Mexico,Import Value,1000 US$,817412
MEX,Mexico,Export Quantity,tonnes,3726
MEX,Mexico,Export Value,1000 US$,3456
MNG,Mongolia,Import Quantity,tonnes,9378
MNG,Mongolia,Import Value,1000 US$,14824
MNE,Montenegro,Import Quantity,tonnes,6749
MNE,Montenegro,Import Value,1000 US$,14123
MNE,Montenegro,Export Quantity,tonnes,0
MNE,Montenegro,Export Value,1000 US$,1
MAR,Morocco,Import Quantity,tonnes,404
MAR,Morocco,Import Value,1000 US$,877
MAR,Morocco,Export Quantity,tonnes,224
MAR,Morocco,Export Value,1000 US$,290
MOZ,Mozambique,Import Quantity,tonnes,22212
MOZ,Mozambique,Import Value,1000 US$,37814
MOZ,Mozambique,Export Quantity,tonnes,
MOZ,Mozambique,Export Value,1000 US$,
MMR,Myanmar,Import Quantity,tonnes,20
MMR,Myanmar,Import Value,1000 US$,49
MMR,Myanmar,Export Quantity,tonnes,
MMR,Myanmar,Export Value,1000 US$,
NAM,Namibia,Import Quantity,tonnes,26899
NAM,Namibia,Import Value,1000 US$,29968
NAM,Namibia,Export Quantity,tonnes,11428
NAM,Namibia,Export Value,1000 US$,11214
NRU,Nauru,Import Quantity,tonnes,577
NRU,Nauru,Import Value,1000 US$,1751
NPL,Nepal,Import Quantity,tonnes,115
NPL,Nepal,Import Value,1000 US$,619
NLD,Netherlands,Import Quantity,tonnes,358733
NLD,Netherlands,Import Value,1000 US$,779647
NLD,Netherlands,Export Quantity,tonnes,1181641
NLD,Netherlands,Export Value,1000 US$,2264596
NCL,New Caledonia,Import Quantity,tonnes,8216
NCL,New Caledonia,Import Value,1000 US$,17013
NZL,New Zealand,Export Quantity,tonnes,16542
NZL,New Zealand,Export Value,1000 US$,40123
NIC,Nicaragua,Import Quantity,tonnes,5226
NIC,Nicaragua,Import Value,1000 US$,6619
NER,Niger,Import Quantity,tonnes,2182
NER,Niger,Import Value,1000 US$,2778
NER,Niger,Export Quantity,tonnes,27
NER,Niger,Export Value,1000 US$,17
NGA,Nigeria,Import Quantity,tonnes,12632
NGA,Nigeria,Import Value,1000 US$,20650
NGA,Nigeria,Export Quantity,tonnes,13
NGA,Nigeria,Export Value,1000 US$,1
NIU,Niue,Import Quantity,tonnes,53
NIU,Niue,Import Value,1000 US$,298
MKD,North Macedonia,Import Quantity,tonnes,36648
MKD,North Macedonia,Import Value,1000 US$,50978
MKD,North Macedonia,Export Quantity,tonnes,436
MKD,North Macedonia,Export Value,1000 US$,455
NOR,Norway,Import Quantity,tonnes,526
NOR,Norway,Import Value,1000 US$,1336
NOR,Norway,Export Quantity,tonnes,19
NOR,Norway,Export Value,1000 US$,90
OMN,Oman,Import Quantity,tonnes,121508
OMN,Oman,Import Value,1000 US$,199227
OMN,Oman,Export Quantity,tonnes,16047
OMN,Oman,Export Value,1000 US$,51076
PAK,Pakistan,Import Quantity,tonnes,64
PAK,Pakistan,Import Value,1000 US$,123
PAK,Pakistan,Export Quantity,tonnes,3384
PAK,Pakistan,Export Value,1000 US$,3734
PSE,Palestine,Import Quantity,tonnes,7900
PSE,Palestine,Import Value,1000 US$,15861
PSE,Palestine,Export Quantity,tonnes,
PSE,Palestine,Export Value,1000 US$,
PAN,Panama,Import Quantity,tonnes,12440
PAN,Panama,Import Value,1000 US$,17896
PAN,Panama,Export Quantity,tonnes,132
PAN,Panama,Export Value,1000 US$,190
PNG,Papua New Guinea,Import Quantity,tonnes,22715
PNG,Papua New Guinea,Import Value,1000 US$,31274
PRY,Paraguay,Export Quantity,tonnes,4469
PRY,Paraguay,Export Value,1000 US$,4558
PER,Peru,Import Quantity,tonnes,46126
PER,Peru,Import Value,1000 US$,53053
PER,Peru,Export Quantity,tonnes,13
PER,Peru,Export Value,1000 US$,51
PHL,Philippines,Import Quantity,tonnes,246016
PHL,Philippines,Import Value,1000 US$,221511
PHL,Philippines,Export Quantity,tonnes,311
PHL,Philippines,Export Value,1000 US$,1143
POL,Poland,Import Quantity,tonnes,31348
POL,Poland,Import Value,1000 US$,55878
POL,Poland,Export Quantity,tonnes,725320
POL,Poland,Export Value,1000 US$,1319580
PRT,Portugal,Import Quantity,tonnes,37998
PRT,Portugal,Import Value,1000 US$,72439
PRT,Portugal,Export Quantity,tonnes,33630
PRT,Portugal,Export Value,1000 US$,52711
QAT,Qatar,Import Quantity,tonnes,138567
QAT,Qatar,Import Value,1000 US$,249382
QAT,Qatar,Export Quantity,tonnes,
QAT,Qatar,Export Value,1000 US$,
KOR,Republic of Korea,Import Quantity,tonnes,106359
KOR,Republic of Korea,Import Value,1000 US$,197769
KOR,Republic of Korea,Export Quantity,tonnes,3407
KOR,Republic of Korea,Export Value,1000 US$,4158
MDA,Republic of Moldova,Import Quantity,tonnes,11877
MDA,Republic of Moldova,Import Value,1000 US$,11691
MDA,Republic of Moldova,Export Quantity,tonnes,0
MDA,Republic of Moldova,Export Value,1000 US$,0
ROU,Romania,Import Quantity,tonnes,110910
ROU,Romania,Import Value,1000 US$,128332
ROU,Romania,Export Quantity,tonnes,53070
ROU,Romania,Export Value,1000 US$,119050
RUS,Russian Federation,Import Quantity,tonnes,218669
RUS,Russian Federation,Import Value,1000 US$,343681
RUS,Russian Federation,Export Quantity,tonnes,103856
RUS,Russian Federation,Export Value,1000 US$,135237
RWA,Rwanda,Import Quantity,tonnes,12
RWA,Rwanda,Import Value,1000 US$,61
RWA,Rwanda,Export Quantity,tonnes,
RWA,Rwanda,Export Value,1000 US$,
KNA,Saint Kitts and Nevis,Import Quantity,tonnes,3421
KNA,Saint Kitts and Nevis,Import Value,1000 US$,5906
KNA,Saint Kitts and Nevis,Export Quantity,tonnes,8
KNA,Saint Kitts and Nevis,Export Value,1000 US$,17
LCA,Saint Lucia,Import Quantity,tonnes,8269
LCA,Saint Lucia,Import Value,1000 US$,11062
LCA,Saint Lucia,Export Quantity,tonnes,2
LCA,Saint Lucia,Export Value,1000 US$,1
VCT,Saint Vincent and the Grenadines,Import Quantity,tonnes,7021
VCT,Saint Vincent and the Grenadines,Import Value,1000 US$,9240
WSM,Samoa,Import Quantity,tonnes,15053
